Epoch 140  val_rmse(scaled)=0.00781
Epoch 141  val_rmse(scaled)=0.00956
Epoch 142  val_rmse(scaled)=0.00981
Epoch 143  val_rmse(scaled)=0.00836
Epoch 144  val_rmse(scaled)=0.00935
Epoch 145  val_rmse(scaled)=0.00774
Epoch 146  val_rmse(scaled)=0.00770
Epoch 147  val_rmse(scaled)=0.00957
Epoch 148  val_rmse(scaled)=0.00985
Epoch 149  val_rmse(scaled)=0.00830
Epoch 150  val_rmse(scaled)=0.00878
Epoch 151  val_rmse(scaled)=0.00980
Epoch 152  val_rmse(scaled)=0.00823
Epoch 153  val_rmse(scaled)=0.00776
Epoch 154  val_rmse(scaled)=0.00838
Epoch 155  val_rmse(scaled)=0.00776
Epoch 156  val_rmse(scaled)=0.00838
Epoch 157  val_rmse(scaled)=0.00832
Epoch 158  val_rmse(scaled)=0.00772
Epoch 159  val_rmse(scaled)=0.00857
Epoch 160  val_rmse(scaled)=0.00799
Epoch 161  val_rmse(scaled)=0.00869
Epoch 162  val_rmse(scaled)=0.00816
Epoch 163  val_rmse(scaled)=0.00799
Epoch 164  val_rmse(scaled)=0.00791
Epoch 165  val_rmse(scaled)=0.00781
Epoch 166  val_rmse(scaled)=0.00854
Epoch 167  val_rmse(scaled)=0.00735
Epoch 168  val_rmse(scaled)=0.01125
Epoch 169  val_rmse(scaled)=0.00793
Epoch 170  val_rmse(scaled)=0.00793
Epoch 171  val_rmse(scaled)=0.00920
Epoch 172  val_rmse(scaled)=0.00788
Epoch 173  val_rmse(scaled)=0.00759
Epoch 174  val_rmse(scaled)=0.00754
Epoch 175  val_rmse(scaled)=0.00818
Epoch 176  val_rmse(scaled)=0.00804
Epoch 177  val_rmse(scaled)=0.00957
Epoch 178  val_rmse(scaled)=0.00805
Epoch 179  val_rmse(scaled)=0.01018
Epoch 180  val_rmse(scaled)=0.00807
Epoch 181  val_rmse(scaled)=0.00895
Epoch 182  val_rmse(scaled)=0.00807
Epoch 183  val_rmse(scaled)=0.00801
Epoch 184  val_rmse(scaled)=0.00866
Epoch 185  val_rmse(scaled)=0.00745
Epoch 186  val_rmse(scaled)=0.00779
